n,runtime_ms,peak_kib,algo
2,0.011383399999997934,1.6015625,solution1
10,0.08756659999999972,0.640625,solution1
20,0.2900498000000029,0.8203125,solution1
40,1.072099800000026,1.1328125,solution1
80,4.1916170000000585,1.7578125,solution1
120,9.302691600000013,2.3828125,solution1
160,16.134891799999984,3.0078125,solution1
200,24.571333600000013,3.6328125,solution1
500,201.88398320000005,8.40234375,solution1
800,553.0630586000001,13.08984375,solution1
1000,871.7638583999995,16.21484375,solution1
2,0.011591599999860591,0.7109375,solution2
10,0.1295168000002178,0.37109375,solution2
20,0.49949160000011267,0.52734375,solution2
40,1.9394581999996774,0.83984375,solution2
80,7.518616400000155,1.46484375,solution2
120,16.75792499999993,2.08984375,solution2
160,29.852033599999928,2.71484375,solution2
200,58.87737499999979,3.33984375,solution2
500,367.7427498000007,8.13671875,solution2
800,946.6901413999996,12.82421875,solution2
1000,1499.4341003999998,15.94921875,solution2
